Restriction Type,Parking Spaces,Times Of Operation,Maximum Stay,Tariff,Cashless Identifier,Nearest Machine,Road Name,Postcode,Controlled Parking Zone,Valid Parking Permits,Parking Bay Length Metres,Disclaimer,Easting,Northing,Longitude,Latitude,EPSG:27700 Well Known Text Geometry,EPSG:4326 Well Known Text Geometry,EPSG:27700 GeoJSON Geometry,EPSG:4326 GeoJSON Geometry,Unique Identifier,Spatial Accuracy,Last Uploaded,Location,Organisation URI
resident permit holders only,3,mon-sat 09:00-20:00,N/A,N/A,N/A,N/A,Holford Road,NW3 1AG,CA-H,CA-H,18,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526427,186201,-0.177562,51.560534,"MULTILINESTRING ((526426.93 186210.68,526424.64 186210.48,526424.65 186210.3,526425.65 186199.91,526427.49 186192.66,526427.53 186192.51,526429.31 186192.95))","LINESTRING (-0.177553 51.560618,-0.177587 51.560616,-0.177586 51.560615,-0.177576 51.560521,-0.177552 51.560456,-0.177551 51.560454,-0.177526 51.560458)","{""type"":""MultiLineString"",""coordinates"":[[[526426.93,186210.68],[526424.64,186210.48],[526424.65,186210.3],[526425.65,186199.91],[526427.49,186192.66],[526427.53,186192.51],[526429.31,186192.95]]]}","{""type"":""LineString"",""coordinates"":[[-0.177553,51.560618],[-0.177587,51.560616],[-0.177586,51.560615],[-0.177576,51.560521],[-0.177552,51.560456],[-0.177551,51.560454],[-0.177526,51.560458]]}",46048817,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.560534, -0.177562)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,3,"mon-fri 08:30-18:30, sat 08:30-13:30",N/A,N/A,N/A,N/A,Bedford Row,WC1R 4BU,CA-D,CA-D,18,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530824,181756,-0.115805,51.519584,"MULTILINESTRING ((530821.98 181765.93,530819.58 181765.01,530826.01 181749.75,530826.17 181749.34,530828.59 181750.4))","LINESTRING (-0.115838 51.519673,-0.115872 51.519665,-0.115785 51.519526,-0.115783 51.519523,-0.115748 51.519532)","{""type"":""MultiLineString"",""coordinates"":[[[530821.98,181765.93],[530819.58,181765.01],[530826.01,181749.75],[530826.17,181749.34],[530828.59,181750.4]]]}","{""type"":""LineString"",""coordinates"":[[-0.115838,51.519673],[-0.115872,51.519665],[-0.115785,51.519526],[-0.115783,51.519523],[-0.115748,51.519532]]}",46042847,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.519584, -0.115805)",http://opendatacommunities.org/id/london-borough-council/camden
diplomatic,2,at any time,N/A,N/A,N/A,N/A,Adeline Place,WC1B 3GH,CA-C,N/A,11,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529845,181519,-0.129997,51.517674,"GEOMETRYCOLLECTION (MULTILINESTRING ((529840.17 181526.31,529841.89 181527.34,529847.55 181517.54),(529845.79 181516.65,529845.78 181516.65),(529845.79 181516.65,529845.79 181516.63),(529847.55 181517.54,529845.79 181516.65)))","MULTILINESTRING ((-0.130069 51.517746,-0.130043 51.517754,-0.129965 51.517665),(-0.129991 51.517658,-0.129991 51.517658),(-0.129991 51.517658,-0.129991 51.517657),(-0.129965 51.517665,-0.129991 51.517658))","{""type"":""GeometryCollection"",""geometries"":[{""type"":""MultiLineString"",""coordinates"":[[[529840.17,181526.31],[529841.89,181527.34],[529847.55,181517.54]],[[529845.79,181516.65],[529845.78,181516.65]],[[529845.79,181516.65],[529845.79,181516.63]],[[529847.55,181517.54],[529845.79,181516.65]]]}]}","{""type"":""MultiLineString"",""coordinates"":[[[-0.130069,51.517746],[-0.130043,51.517754],[-0.129965,51.517665]],[[-0.129991,51.517658],[-0.129991,51.517658]],[[-0.129991,51.517658],[-0.129991,51.517657]],[[-0.129965,51.517665],[-0.129991,51.517658]]]}",46036159,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.517674, -0.129997)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,4,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Lupton Street,NW5 2HS,CA-M,CA-M,20,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529189,185738,-0.13791,51.555743,"MULTILINESTRING ((529192.23 185747.82,529193.9 185747.02,529184.95 185727.84,529183.14 185728.55))","LINESTRING (-0.137853 51.555832,-0.13783 51.555825,-0.137966 51.555654,-0.137991 51.555661)","{""type"":""MultiLineString"",""coordinates"":[[[529192.23,185747.82],[529193.9,185747.02],[529184.95,185727.84],[529183.14,185728.55]]]}","{""type"":""LineString"",""coordinates"":[[-0.137853,51.555832],[-0.13783,51.555825],[-0.137966,51.555654],[-0.137991,51.555661]]}",46045596,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.555743, -0.13791)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,6,mon-fri 10:00-12:00,N/A,N/A,N/A,N/A,Broomsleigh Street,NW6 1QW,CA-P,CA-P,32,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",524981,185090,-0.198794,51.550866,"MULTILINESTRING ((524986.68 185070.72,524988.42 185071.35,524977.94 185102.31,524977.87 185102.47,524976.02 185101.87))","LINESTRING (-0.198724 51.550693,-0.198699 51.550699,-0.198839 51.550979,-0.19884 51.550981,-0.198867 51.550976)","{""type"":""MultiLineString"",""coordinates"":[[[524986.68,185070.72],[524988.42,185071.35],[524977.94,185102.31],[524977.87,185102.47],[524976.02,185101.87]]]}","{""type"":""LineString"",""coordinates"":[[-0.198724,51.550693],[-0.198699,51.550699],[-0.198839,51.550979],[-0.19884,51.550981],[-0.198867,51.550976]]}",46044021,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.550866, -0.198794)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,24,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Oseney Crescent,NW5 2AT,CA-M,CA-M,121,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529469,184856,-0.134186,51.547751,"MULTILINESTRING ((529410.74 184842.83,529410.65 184840.72,529410.79 184840.72,529435.85 184838.99,529442.36 184839.2,529448.65 184839.77,529458.19 184841.83,529465.61 184843.93,529472.8 184846.56,529479.24 184849.53,529485.14 184853.18,529500.73 184865.11,529504.97 184869.6,529509.34 184875.88,529515.25 184885.43,529515.31 184885.56,529513.49 184886.5))","LINESTRING (-0.135036 51.547649,-0.135038 51.54763,-0.135036 51.54763,-0.134675 51.547609,-0.134582 51.547609,-0.134491 51.547613,-0.134352 51.547629,-0.134245 51.547647,-0.13414 51.547668,-0.134046 51.547694,-0.13396 51.547725,-0.133731 51.547829,-0.133668 51.547868,-0.133603 51.547924,-0.133514 51.548008,-0.133513 51.548009,-0.133539 51.548018)","{""type"":""MultiLineString"",""coordinates"":[[[529410.74,184842.83],[529410.65,184840.72],[529410.79,184840.72],[529435.85,184838.99],[529442.36,184839.2],[529448.65,184839.77],[529458.19,184841.83],[529465.61,184843.93],[529472.8,184846.56],[529479.24,184849.53],[529485.14,184853.18],[529500.73,184865.11],[529504.97,184869.6],[529509.34,184875.88],[529515.25,184885.43],[529515.31,184885.56],[529513.49,184886.5]]]}","{""type"":""LineString"",""coordinates"":[[-0.135036,51.547649],[-0.135038,51.54763],[-0.135036,51.54763],[-0.134675,51.547609],[-0.134582,51.547609],[-0.134491,51.547613],[-0.134352,51.547629],[-0.134245,51.547647],[-0.13414,51.547668],[-0.134046,51.547694],[-0.13396,51.547725],[-0.133731,51.547829],[-0.133668,51.547868],[-0.133603,51.547924],[-0.133514,51.548008],[-0.133513,51.548009],[-0.133539,51.548018]]}",46048663,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.547751, -0.134186)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,15,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Burghley Road,NW5 1UF,CA-M,CA-M,77,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529002,185832,-0.140565,51.556631,"MULTILINESTRING ((529042.66 185852.16,529043.42 185850.53,529034.9 185846.61,529016.94 185838.56,529010.93 185835.91,529004.63 185833.08,529000.79 185831.18,528978.26 185820.29,528974.2 185818.31,528973.17 185818.02,528972.37 185817.87,528972.05 185819.64))","LINESTRING (-0.139971 51.556804,-0.139961 51.556789,-0.140085 51.556756,-0.140347 51.556688,-0.140435 51.556665,-0.140527 51.556641,-0.140583 51.556625,-0.140911 51.556532,-0.140971 51.556516,-0.140986 51.556513,-0.140997 51.556512,-0.141001 51.556528)","{""type"":""MultiLineString"",""coordinates"":[[[529042.66,185852.16],[529043.42,185850.53],[529034.9,185846.61],[529016.94,185838.56],[529010.93,185835.91],[529004.63,185833.08],[529000.79,185831.18],[528978.26,185820.29],[528974.2,185818.31],[528973.17,185818.02],[528972.37,185817.87],[528972.05,185819.64]]]}","{""type"":""LineString"",""coordinates"":[[-0.139971,51.556804],[-0.139961,51.556789],[-0.140085,51.556756],[-0.140347,51.556688],[-0.140435,51.556665],[-0.140527,51.556641],[-0.140583,51.556625],[-0.140911,51.556532],[-0.140971,51.556516],[-0.140986,51.556513],[-0.140997,51.556512],[-0.141001,51.556528]]}",46128369,Defined By Custodian,04/08/2023 11:00:34 PM,"(51.556631, -0.140565)",http://opendatacommunities.org/id/london-borough-council/camden
paid-for,1,mon-fri 08:30-18:30,2 hours,£3.84 (non-diesel) / £4.65 (diesel),13067,R100,Fairhazel Gardens,NW6 3QG,CA-R,N/A,9,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526292,184112,-0.180256,51.541789,"MULTILINESTRING ((526295.41 184108.72,526296.39 184110.26,526288.03 184115.76,526287.11 184114.25))","LINESTRING (-0.180204 51.541757,-0.180189 51.54177,-0.180308 51.541822,-0.180321 51.541808)","{""type"":""MultiLineString"",""coordinates"":[[[526295.41,184108.72],[526296.39,184110.26],[526288.03,184115.76],[526287.11,184114.25]]]}","{""type"":""LineString"",""coordinates"":[[-0.180204,51.541757],[-0.180189,51.54177],[-0.180308,51.541822],[-0.180321,51.541808]]}",46043601,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.541789, -0.180256)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,2,"mon-fri 09:00-18:30, sat 09:30-13:30",N/A,N/A,N/A,N/A,Daleham Gardens,NW3 5AU,CA-B,CA-B,14,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526706,184757,-0.174051,51.547488,"MULTILINESTRING ((526707.26 184764.09,526705.26 184763.99,526705.26 184763.79,526705.71 184749.61,526705.72 184749.4,526707.74 184749.49))","LINESTRING (-0.174032 51.547554,-0.174061 51.547554,-0.174061 51.547552,-0.17406 51.547425,-0.17406 51.547423,-0.174031 51.547423)","{""type"":""MultiLineString"",""coordinates"":[[[526707.26,184764.09],[526705.26,184763.99],[526705.26,184763.79],[526705.71,184749.61],[526705.72,184749.4],[526707.74,184749.49]]]}","{""type"":""LineString"",""coordinates"":[[-0.174032,51.547554],[-0.174061,51.547554],[-0.174061,51.547552],[-0.17406,51.547425],[-0.17406,51.547423],[-0.174031,51.547423]]}",46035561,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.547488, -0.174051)",http://opendatacommunities.org/id/london-borough-council/camden
disabled (blue badge),1,at any time,N/A,N/A,N/A,N/A,Lyme Street,NW1 0EH,CA-G,N/A,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529193,184027,-0.138469,51.540371,"MULTILINESTRING ((529191.01 184029.87,529190.21 184028.4,529194.66 184025.99,529194.9 184025.83,529195.72 184027.3))","LINESTRING (-0.138501 51.540394,-0.138513 51.540381,-0.13845 51.540358,-0.138447 51.540356,-0.138434 51.540369)","{""type"":""MultiLineString"",""coordinates"":[[[529191.01,184029.87],[529190.21,184028.4],[529194.66,184025.99],[529194.9,184025.83],[529195.72,184027.3]]]}","{""type"":""LineString"",""coordinates"":[[-0.138501,51.540394],[-0.138513,51.540381],[-0.13845,51.540358],[-0.138447,51.540356],[-0.138434,51.540369]]}",46047967,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.540371, -0.138469)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,8,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,King Henry's Road,NW3 3AD,CA-J,CA-J,40,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527586,184212,-0.161572,51.542398,"MULTILINESTRING ((527605.86 184213.59,527605.6 184215.53,527605.45 184215.51,527565.61 184210.41,527565.47 184210.39,527565.71 184208.52))","LINESTRING (-0.161279 51.542405,-0.161283 51.542422,-0.161285 51.542422,-0.161861 51.542385,-0.161863 51.542385,-0.16186 51.542368)","{""type"":""MultiLineString"",""coordinates"":[[[527605.86,184213.59],[527605.6,184215.53],[527605.45,184215.51],[527565.61,184210.41],[527565.47,184210.39],[527565.71,184208.52]]]}","{""type"":""LineString"",""coordinates"":[[-0.161279,51.542405],[-0.161283,51.542422],[-0.161285,51.542422],[-0.161861,51.542385],[-0.161863,51.542385],[-0.16186,51.542368]]}",46048098,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.542398, -0.161572)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,9,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Regent's Park Road,NW1 7TX,CA-J,CA-J,48,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528358,183751,-0.150604,51.538074,"MULTILINESTRING ((528334.96 183755.12,528334.7 183752.75,528334.85 183752.72,528381.49 183746.91,528381.67 183746.88,528382.03 183749.37))","LINESTRING (-0.150939 51.538119,-0.150943 51.538098,-0.150941 51.538098,-0.150271 51.538035,-0.150268 51.538035,-0.150262 51.538057)","{""type"":""MultiLineString"",""coordinates"":[[[528334.96,183755.12],[528334.7,183752.75],[528334.85,183752.72],[528381.49,183746.91],[528381.67,183746.88],[528382.03,183749.37]]]}","{""type"":""LineString"",""coordinates"":[[-0.150939,51.538119],[-0.150943,51.538098],[-0.150941,51.538098],[-0.150271,51.538035],[-0.150268,51.538035],[-0.150262,51.538057]]}",46047984,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.538074, -0.150604)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,2,"mon-fri 08:30-18:30, sat-sun 09:30-17:30",N/A,N/A,N/A,N/A,Gloucester Crescent,NW1 7DS,CA-F,CA-F,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528689,183757,-0.145837,51.538055,"MULTILINESTRING ((528692.71 183760.44,528691.04 183761.53,528690.96 183761.39,528685.75 183753.13,528685.68 183753.03,528687.39 183751.98))","LINESTRING (-0.145781 51.538086,-0.145805 51.538096,-0.145806 51.538095,-0.145884 51.538022,-0.145885 51.538021,-0.145861 51.538011)","{""type"":""MultiLineString"",""coordinates"":[[[528692.71,183760.44],[528691.04,183761.53],[528690.96,183761.39],[528685.75,183753.13],[528685.68,183753.03],[528687.39,183751.98]]]}","{""type"":""LineString"",""coordinates"":[[-0.145781,51.538086],[-0.145805,51.538096],[-0.145806,51.538095],[-0.145884,51.538022],[-0.145885,51.538021],[-0.145861,51.538011]]}",46048169,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.538055, -0.145837)",http://opendatacommunities.org/id/london-borough-council/camden
car club,1,at any time,N/A,N/A,N/A,N/A,Primrose Hill Road,NW1 8XJ,CA-J,N/A,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527834,183981,-0.158071,51.540265,"MULTILINESTRING ((527836.7 183982.5,527836.95 183980.55,527831.97 183980.04,527831.75 183981.92))","LINESTRING (-0.158036 51.540276,-0.158033 51.540258,-0.158105 51.540255,-0.158108 51.540272)","{""type"":""MultiLineString"",""coordinates"":[[[527836.7,183982.5],[527836.95,183980.55],[527831.97,183980.04],[527831.75,183981.92]]]}","{""type"":""LineString"",""coordinates"":[[-0.158036,51.540276],[-0.158033,51.540258],[-0.158105,51.540255],[-0.158108,51.540272]]}",46048301,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.540265, -0.158071)",http://opendatacommunities.org/id/london-borough-council/camden
dockless bike hire,1,at any time,N/A,N/A,N/A,N/A,Saffron Hill,EC1N 8QP,CA-D,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531410,181936,-0.107298,51.521069,"MULTILINESTRING ((531412.56 181934.18,531410.72 181933.34,531408.32 181938.76,531410.11 181939.61))","LINESTRING (-0.107268 51.521048,-0.107294 51.521041,-0.107327 51.52109,-0.107301 51.521097)","{""type"":""MultiLineString"",""coordinates"":[[[531412.56,181934.18],[531410.72,181933.34],[531408.32,181938.76],[531410.11,181939.61]]]}","{""type"":""LineString"",""coordinates"":[[-0.107268,51.521048],[-0.107294,51.521041],[-0.107327,51.52109],[-0.107301,51.521097]]}",46130567,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.521069, -0.107298)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,3,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Lower Merton Rise,NW3 3SP,CA-J,CA-J,18,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527258,184189,-0.166297,51.542264,"MULTILINESTRING ((527258.57 184179.94,527260.74 184180.37,527260.7 184180.54,527257.36 184198.2,527257.32 184198.38,527255.18 184197.98))","LINESTRING (-0.166297 51.542181,-0.166265 51.542184,-0.166266 51.542186,-0.166308 51.542345,-0.166308 51.542347,-0.166339 51.542344)","{""type"":""MultiLineString"",""coordinates"":[[[527258.57,184179.94],[527260.74,184180.37],[527260.7,184180.54],[527257.36,184198.2],[527257.32,184198.38],[527255.18,184197.98]]]}","{""type"":""LineString"",""coordinates"":[[-0.166297,51.542181],[-0.166265,51.542184],[-0.166266,51.542186],[-0.166308,51.542345],[-0.166308,51.542347],[-0.166339,51.542344]]}",46047105,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.542264, -0.166297)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,7,"mon-fri 08:30-18:30, sat 08:30-13:30",N/A,N/A,N/A,N/A,Osnaburgh Street,NW1 3QJ,CA-G,CA-G,37,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528942,182732,-0.142562,51.528788,"MULTILINESTRING ((528942.78 182751.74,528940.59 182751.68,528940.83 182746.83,528942.35 182714.34,528942.36 182714.12,528944.31 182714.11))","LINESTRING (-0.142547 51.528964,-0.142578 51.528964,-0.142576 51.52892,-0.142566 51.528628,-0.142566 51.528626,-0.142538 51.528625)","{""type"":""MultiLineString"",""coordinates"":[[[528942.78,182751.74],[528940.59,182751.68],[528940.83,182746.83],[528942.35,182714.34],[528942.36,182714.12],[528944.31,182714.11]]]}","{""type"":""LineString"",""coordinates"":[[-0.142547,51.528964],[-0.142578,51.528964],[-0.142576,51.52892],[-0.142566,51.528628],[-0.142566,51.528626],[-0.142538,51.528625]]}",46047641,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.528788, -0.142562)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,8,"mon-fri 08:30-18:30, sat-sun 09:30-17:30",N/A,N/A,N/A,N/A,Bayham Street,NW1 0AA,CA-F,CA-F,42,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529131,183653,-0.139507,51.537024,"MULTILINESTRING ((529119.05 183670.87,529120.58 183671.85,529142.72 183635.88,529140.97 183634.89))","LINESTRING (-0.13967 51.537184,-0.139648 51.537192,-0.139342 51.536864,-0.139367 51.536855)","{""type"":""MultiLineString"",""coordinates"":[[[529119.05,183670.87],[529120.58,183671.85],[529142.72,183635.88],[529140.97,183634.89]]]}","{""type"":""LineString"",""coordinates"":[[-0.13967,51.537184],[-0.139648,51.537192],[-0.139342,51.536864],[-0.139367,51.536855]]}",46047771,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.537024, -0.139507)",http://opendatacommunities.org/id/london-borough-council/camden
car club,2,at any time,N/A,N/A,N/A,N/A,Gaisford Street,NW5 2AD,CA-M,N/A,9,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529028,184873,-0.140535,51.548012,"MULTILINESTRING ((529023.51 184874.84,529023.37 184872.89,529033.33 184872.03,529033.5 184874.03))","LINESTRING (-0.140606 51.548025,-0.140608 51.548008,-0.140465 51.547998,-0.140462 51.548016)","{""type"":""MultiLineString"",""coordinates"":[[[529023.51,184874.84],[529023.37,184872.89],[529033.33,184872.03],[529033.5,184874.03]]]}","{""type"":""LineString"",""coordinates"":[[-0.140606,51.548025],[-0.140608,51.548008],[-0.140465,51.547998],[-0.140462,51.548016]]}",46048411,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.548012, -0.140535)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,24,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Gloucester Avenue,NW1 7BA,CA-J,CA-J,3.300000000000001,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528436,183858,-0.149448,51.539018,"POLYGON ((528433.61 183856.66,528436.9 183861.16,528438.01 183858.85,528434.8 183854.14,528433.61 183856.66))","MULTILINESTRING ((-0.149435 51.539054,-0.149448 51.539003),(-0.149432 51.538981,-0.149448 51.539003),(-0.149417 51.539029,-0.149432 51.538981),(-0.149419 51.538961,-0.149432 51.538981),(-0.149406 51.538942,-0.149419 51.538961),(-0.149402 51.539008,-0.149419 51.538961),(-0.14939 51.538918,-0.149406 51.538942),(-0.149387 51.538987,-0.149406 51.538942),(-0.149373 51.538893,-0.14939 51.538918),(-0.14937 51.538964,-0.14939 51.538918),(-0.149357 51.53887,-0.149373 51.538893),(-0.149352 51.538939,-0.149373 51.538893),(-0.149343 51.538849,-0.149357 51.53887),(-0.149335 51.538916,-0.149357 51.53887),(-0.149328 51.538827,-0.149343 51.538849),(-0.149319 51.538895,-0.149343 51.538849),(-0.149311 51.538802,-0.149328 51.538827),(-0.149304 51.538871,-0.149328 51.538827),(-0.149293 51.538777,-0.149311 51.538802),(-0.149287 51.538848,-0.149311 51.538802),(-0.149279 51.538756,-0.149293 51.538777),(-0.14927 51.538824,-0.149293 51.538777),(-0.149263 51.538733,-0.149279 51.538756),(-0.149253 51.5388,-0.149279 51.538756),(-0.149247 51.53871,-0.149263 51.538733),(-0.149237 51.538776,-0.149263 51.538733),(-0.149233 51.538688,-0.149247 51.53871),(-0.14922 51.538753,-0.149247 51.53871),(-0.149217 51.538665,-0.149233 51.538688),(-0.149204 51.538729,-0.149233 51.538688),(-0.149201 51.538641,-0.149217 51.538665),(-0.149188 51.538706,-0.149217 51.538665),(-0.149184 51.538617,-0.149201 51.538641),(-0.149172 51.538683,-0.149201 51.538641),(-0.149167 51.538591,-0.149184 51.538617),(-0.149155 51.538658,-0.149184 51.538617),(-0.14915 51.538568,-0.149167 51.538591),(-0.149137 51.538632,-0.149167 51.538591),(-0.149131 51.53854,-0.14915 51.538568),(-0.14912 51.538608,-0.14915 51.538568),(-0.149114 51.538515,-0.149131 51.53854),(-0.149102 51.538582,-0.149131 51.53854),(-0.149093 51.538485,-0.149114 51.538515),(-0.149084 51.538557,-0.149114 51.538515),(-0.149063 51.538527,-0.149093 51.538485))","{""type"":""Polygon"",""coordinates"":[[[528433.61,183856.66],[528436.9,183861.16],[528438.01,183858.85],[528434.8,183854.14],[528433.61,183856.66]]]}","{""type"":""MultiLineString"",""coordinates"":[[[-0.149435,51.539054],[-0.149448,51.539003]],[[-0.149432,51.538981],[-0.149448,51.539003]],[[-0.149417,51.539029],[-0.149432,51.538981]],[[-0.149419,51.538961],[-0.149432,51.538981]],[[-0.149406,51.538942],[-0.149419,51.538961]],[[-0.149402,51.539008],[-0.149419,51.538961]],[[-0.14939,51.538918],[-0.149406,51.538942]],[[-0.149387,51.538987],[-0.149406,51.538942]],[[-0.149373,51.538893],[-0.14939,51.538918]],[[-0.14937,51.538964],[-0.14939,51.538918]],[[-0.149357,51.53887],[-0.149373,51.538893]],[[-0.149352,51.538939],[-0.149373,51.538893]],[[-0.149343,51.538849],[-0.149357,51.53887]],[[-0.149335,51.538916],[-0.149357,51.53887]],[[-0.149328,51.538827],[-0.149343,51.538849]],[[-0.149319,51.538895],[-0.149343,51.538849]],[[-0.149311,51.538802],[-0.149328,51.538827]],[[-0.149304,51.538871],[-0.149328,51.538827]],[[-0.149293,51.538777],[-0.149311,51.538802]],[[-0.149287,51.538848],[-0.149311,51.538802]],[[-0.149279,51.538756],[-0.149293,51.538777]],[[-0.14927,51.538824],[-0.149293,51.538777]],[[-0.149263,51.538733],[-0.149279,51.538756]],[[-0.149253,51.5388],[-0.149279,51.538756]],[[-0.149247,51.53871],[-0.149263,51.538733]],[[-0.149237,51.538776],[-0.149263,51.538733]],[[-0.149233,51.538688],[-0.149247,51.53871]],[[-0.14922,51.538753],[-0.149247,51.53871]],[[-0.149217,51.538665],[-0.149233,51.538688]],[[-0.149204,51.538729],[-0.149233,51.538688]],[[-0.149201,51.538641],[-0.149217,51.538665]],[[-0.149188,51.538706],[-0.149217,51.538665]],[[-0.149184,51.538617],[-0.149201,51.538641]],[[-0.149172,51.538683],[-0.149201,51.538641]],[[-0.149167,51.538591],[-0.149184,51.538617]],[[-0.149155,51.538658],[-0.149184,51.538617]],[[-0.14915,51.538568],[-0.149167,51.538591]],[[-0.149137,51.538632],[-0.149167,51.538591]],[[-0.149131,51.53854],[-0.14915,51.538568]],[[-0.14912,51.538608],[-0.14915,51.538568]],[[-0.149114,51.538515],[-0.149131,51.53854]],[[-0.149102,51.538582],[-0.149131,51.53854]],[[-0.149093,51.538485],[-0.149114,51.538515]],[[-0.149084,51.538557],[-0.149114,51.538515]],[[-0.149063,51.538527],[-0.149093,51.538485]]]}",46048076,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.539018, -0.149448)",http://opendatacommunities.org/id/london-borough-council/camden
