Restriction Type,Parking Spaces,Times Of Operation,Maximum Stay,Tariff,Cashless Identifier,Nearest Machine,Road Name,Postcode,Controlled Parking Zone,Valid Parking Permits,Parking Bay Length Metres,Disclaimer,Easting,Northing,Longitude,Latitude,EPSG:27700 Well Known Text Geometry,EPSG:4326 Well Known Text Geometry,EPSG:27700 GeoJSON Geometry,EPSG:4326 GeoJSON Geometry,Unique Identifier,Spatial Accuracy,Last Uploaded,Location,Organisation URI
permit holders only,2,mon-fri 10:00-12:00,N/A,N/A,N/A,N/A,Dartmouth Park Avenue,NW5 1JP,CA-U,CA-U,11,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528897,186401,-0.141873,51.561767,"MULTILINESTRING ((528900.75 186405,528901.94 186403.63,528892.87 186396.39,528891.71 186397.8))","LINESTRING (-0.141815 51.561805,-0.141798 51.561792,-0.141931 51.561729,-0.141948 51.561742)","{""type"":""MultiLineString"",""coordinates"":[[[528900.75,186405],[528901.94,186403.63],[528892.87,186396.39],[528891.71,186397.8]]]}","{""type"":""LineString"",""coordinates"":[[-0.141815,51.561805],[-0.141798,51.561792],[-0.141931,51.561729],[-0.141948,51.561742]]}",46044815,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.561767, -0.141873)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,3,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Chalton Street,NW1 1ET,CA-G,CA-G,19,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529754,182931,-0.1308,51.530386,"MULTILINESTRING ((529748.69 182939.4,529747.23 182938.43,529758.25 182921.73,529759.88 182922.84))","LINESTRING (-0.130866 51.530466,-0.130887 51.530457,-0.130735 51.530305,-0.130711 51.530314)","{""type"":""MultiLineString"",""coordinates"":[[[529748.69,182939.4],[529747.23,182938.43],[529758.25,182921.73],[529759.88,182922.84]]]}","{""type"":""LineString"",""coordinates"":[[-0.130866,51.530466],[-0.130887,51.530457],[-0.130735,51.530305],[-0.130711,51.530314]]}",46127676,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.530386, -0.1308)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,1,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Parsifal Road,NW6 1UG,CA-P,CA-P,8,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525315,185454,-0.193848,51.554064,"MULTILINESTRING ((525319.98 185460.29,525313.58 185452.14,525313.48 185452.02,525314.92 185450.88))","LINESTRING (-0.193781 51.554121,-0.193876 51.554049,-0.193878 51.554048,-0.193857 51.554037)","{""type"":""MultiLineString"",""coordinates"":[[[525319.98,185460.29],[525313.58,185452.14],[525313.48,185452.02],[525314.92,185450.88]]]}","{""type"":""LineString"",""coordinates"":[[-0.193781,51.554121],[-0.193876,51.554049],[-0.193878,51.554048],[-0.193857,51.554037]]}",46043984,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.554064, -0.193848)",http://opendatacommunities.org/id/london-borough-council/camden
paid-for / permit holders,2,mon-fri 08:30-18:00,2 hours,£4.83 (non-diesel) / £5.87 (diesel),13709,N/A,Regent's Park Road,NW1 8XP,CA-J,CA-J,11,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528012,184243,-0.155414,51.542577,"MULTILINESTRING ((528015.14 184247.74,528016.64 184246.41,528009.03 184238.16,528007.44 184239.46))","LINESTRING (-0.155368 51.542619,-0.155347 51.542607,-0.15546 51.542534,-0.155482 51.542546)","{""type"":""MultiLineString"",""coordinates"":[[[528015.14,184247.74],[528016.64,184246.41],[528009.03,184238.16],[528007.44,184239.46]]]}","{""type"":""LineString"",""coordinates"":[[-0.155368,51.542619],[-0.155347,51.542607],[-0.15546,51.542534],[-0.155482,51.542546]]}",46133977,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.542577, -0.155414)",http://opendatacommunities.org/id/london-borough-council/camden
loading / parking,1,at any time,N/A,N/A,N/A,N/A,Camden High Street,NW1 8QP,CA-F,N/A,16,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528849,183973,-0.143455,51.53996,"MULTILINESTRING ((528853.67 183965.95,528852.25 183965.19,528843.74 183979.94,528845.15 183980.84))","LINESTRING (-0.143386 51.539896,-0.143407 51.53989,-0.143524 51.540024,-0.143504 51.540032)","{""type"":""MultiLineString"",""coordinates"":[[[528853.67,183965.95],[528852.25,183965.19],[528843.74,183979.94],[528845.15,183980.84]]]}","{""type"":""LineString"",""coordinates"":[[-0.143386,51.539896],[-0.143407,51.53989],[-0.143524,51.540024],[-0.143504,51.540032]]}",46047914,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.53996, -0.143455)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,4,mon-fri 10:00-12:00,N/A,N/A,N/A,N/A,Chester Road,N19 5DB,CA-U,CA-U,21,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528909,186552,-0.141647,51.563126,"MULTILINESTRING ((528916.91 186545.02,528917.91 186546.49,528900.44 186559.3,528899.43 186557.96))","LINESTRING (-0.14153 51.563059,-0.141515 51.563072,-0.141763 51.563191,-0.141778 51.56318)","{""type"":""MultiLineString"",""coordinates"":[[[528916.91,186545.02],[528917.91,186546.49],[528900.44,186559.3],[528899.43,186557.96]]]}","{""type"":""LineString"",""coordinates"":[[-0.14153,51.563059],[-0.141515,51.563072],[-0.141763,51.563191],[-0.141778,51.56318]]}",46044823,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.563126, -0.141647)",http://opendatacommunities.org/id/london-borough-council/camden
bus cage,1,at any time,N/A,N/A,N/A,N/A,Fitzjohn's Avenue,NW3 5BA,CA-B,N/A,15,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526590,184671,-0.17575,51.546744,"MULTILINESTRING ((526591.47 184677.76,526588.86 184677.68,526589.22 184664.17,526592.19 184664.31))","LINESTRING (-0.175732 51.546804,-0.17577 51.546804,-0.17577 51.546683,-0.175727 51.546683)","{""type"":""MultiLineString"",""coordinates"":[[[526591.47,184677.76],[526588.86,184677.68],[526589.22,184664.17],[526592.19,184664.31]]]}","{""type"":""LineString"",""coordinates"":[[-0.175732,51.546804],[-0.17577,51.546804],[-0.17577,51.546683],[-0.175727,51.546683]]}",46035693,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.546744, -0.17575)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,1,"mon-fri 08:30-18:30, sat 08:30-13:30",N/A,N/A,N/A,N/A,Jockey's Fields,WC1R 4BW,CA-D,CA-D,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530850,181839,-0.115409,51.520324,"MULTILINESTRING ((530849.67 181841.83,530847.98 181841.24,530850.01 181836.4,530851.68 181837.08))","LINESTRING (-0.11541 51.520348,-0.115435 51.520343,-0.115408 51.5203,-0.115383 51.520305)","{""type"":""MultiLineString"",""coordinates"":[[[530849.67,181841.83],[530847.98,181841.24],[530850.01,181836.4],[530851.68,181837.08]]]}","{""type"":""LineString"",""coordinates"":[[-0.11541,51.520348],[-0.115435,51.520343],[-0.115408,51.5203],[-0.115383,51.520305]]}",46043034,Defined By Custodian,04/08/2023 11:00:34 PM,"(51.520324, -0.115409)",http://opendatacommunities.org/id/london-borough-council/camden
paid-for,3,mon-fri 10:00-16:00 sat-sun 09:30-17:30,2 hours,£4.83 (non-diesel) / £5.87 (diesel),14056,F200,Parkway,NW1 7PP,CA-F,N/A,11,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528690,183641,-0.145861,51.537009,"MULTILINESTRING ((528687.97 183635.46,528686.48 183636.54,528687.5 183637.93,528690.96 183642.67,528693.45 183645.96,528694.87 183644.87))","LINESTRING (-0.145895 51.536964,-0.145916 51.536974,-0.145901 51.536986,-0.145849 51.537028,-0.145812 51.537057,-0.145792 51.537047)","{""type"":""MultiLineString"",""coordinates"":[[[528687.97,183635.46],[528686.48,183636.54],[528687.5,183637.93],[528690.96,183642.67],[528693.45,183645.96],[528694.87,183644.87]]]}","{""type"":""LineString"",""coordinates"":[[-0.145895,51.536964],[-0.145916,51.536974],[-0.145901,51.536986],[-0.145849,51.537028],[-0.145812,51.537057],[-0.145792,51.537047]]}",46047852,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.537009, -0.145861)",http://opendatacommunities.org/id/london-borough-council/camden
car club,1,at any time,N/A,N/A,N/A,N/A,Loveridge Road,NW6 2DP,CA-Q,N/A,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",524724,184595,-0.20268,51.54648,"MULTILINESTRING ((524726.57 184595.91,524725.82 184597.35,524721.32 184594.99,524722.11 184593.45))","LINESTRING (-0.202642 51.546484,-0.202652 51.546497,-0.202718 51.546477,-0.202707 51.546463)","{""type"":""MultiLineString"",""coordinates"":[[[524726.57,184595.91],[524725.82,184597.35],[524721.32,184594.99],[524722.11,184593.45]]]}","{""type"":""LineString"",""coordinates"":[[-0.202642,51.546484],[-0.202652,51.546497],[-0.202718,51.546477],[-0.202707,51.546463]]}",46044380,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.54648, -0.20268)",http://opendatacommunities.org/id/london-borough-council/camden
disabled (green permit),1,at any time,N/A,N/A,N/A,N/A,Stacey Street,WC2H 8DG,CA-C,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529937,181177,-0.128801,51.514584,"MULTILINESTRING ((529937.93 181173.73,529939.43 181174.46,529936.32 181180.41,529934.84 181179.56))","LINESTRING (-0.12879 51.514555,-0.128769 51.514561,-0.128811 51.514615,-0.128833 51.514608)","{""type"":""MultiLineString"",""coordinates"":[[[529937.93,181173.73],[529939.43,181174.46],[529936.32,181180.41],[529934.84,181179.56]]]}","{""type"":""LineString"",""coordinates"":[[-0.12879,51.514555],[-0.128769,51.514561],[-0.128811,51.514615],[-0.128833,51.514608]]}",46042414,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.514584, -0.128801)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,4,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Royal College Street,NW1 0NH,CA-G,CA-G,39,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529530,183583,-0.133786,51.536299,"MULTILINESTRING ((529526.41 183590.31,529535.9 183572.57,529534.41 183571.71,529524.81 183589.47,529526.41 183590.31))","LINESTRING (-0.13383 51.536366,-0.133699 51.536205,-0.133721 51.536198,-0.133853 51.536359,-0.13383 51.536366)","{""type"":""MultiLineString"",""coordinates"":[[[529526.41,183590.31],[529535.9,183572.57],[529534.41,183571.71],[529524.81,183589.47],[529526.41,183590.31]]]}","{""type"":""LineString"",""coordinates"":[[-0.13383,51.536366],[-0.133699,51.536205],[-0.133721,51.536198],[-0.133853,51.536359],[-0.13383,51.536366]]}",46126600,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.536299, -0.133786)",http://opendatacommunities.org/id/london-borough-council/camden
disabled (dedicated),1,at any time,N/A,N/A,N/A,N/A,Spencer Rise,NW5 1AR,CA-U,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528942,186019,-0.141367,51.558328,"MULTILINESTRING ((528944.2 186021.55,528945.04 186019.68,528939.04 186016.83,528938.19 186018.7))","LINESTRING (-0.141329 51.558349,-0.141317 51.558332,-0.141405 51.558308,-0.141416 51.558325)","{""type"":""MultiLineString"",""coordinates"":[[[528944.2,186021.55],[528945.04,186019.68],[528939.04,186016.83],[528938.19,186018.7]]]}","{""type"":""LineString"",""coordinates"":[[-0.141329,51.558349],[-0.141317,51.558332],[-0.141405,51.558308],[-0.141416,51.558325]]}",46133558,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.558328, -0.141367)",http://opendatacommunities.org/id/london-borough-council/camden
paid-for,2,"mon-fri 08:30-18:30, sat 08:30-13:30",2 hours,£4.83 (non-diesel) / £5.87 (diesel),13500,N/A,Redhill Street,NW1 4DJ,CA-G,N/A,14,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528855,182876,-0.14377,51.530105,"MULTILINESTRING ((528862.13 182877.7,528861.5 182879.6,528847.34 182875.15,528847.94 182873.32))","LINESTRING (-0.143663 51.530114,-0.143671 51.530131,-0.143877 51.530095,-0.143869 51.530078)","{""type"":""MultiLineString"",""coordinates"":[[[528862.13,182877.7],[528861.5,182879.6],[528847.34,182875.15],[528847.94,182873.32]]]}","{""type"":""LineString"",""coordinates"":[[-0.143663,51.530114],[-0.143671,51.530131],[-0.143877,51.530095],[-0.143869,51.530078]]}",46133409,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.530105, -0.14377)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,5,"mon-fri 08:30-18:30, sat 08:30-13:30",N/A,N/A,N/A,N/A,Ampton Street,WC1X 0LX,CA-D,CA-D,26,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530677,182627,-0.117613,51.527445,"MULTILINESTRING ((530686.17 182631.81,530686.17 182631.79,530686.94 182630.02,530662.11 182619.83,530661.33 182621.65))","LINESTRING (-0.117473 51.527486,-0.117473 51.527485,-0.117462 51.527469,-0.117824 51.527384,-0.117834 51.5274)","{""type"":""MultiLineString"",""coordinates"":[[[530686.17,182631.81],[530686.17,182631.79],[530686.94,182630.02],[530662.11,182619.83],[530661.33,182621.65]]]}","{""type"":""LineString"",""coordinates"":[[-0.117473,51.527486],[-0.117473,51.527485],[-0.117462,51.527469],[-0.117824,51.527384],[-0.117834,51.5274]]}",46130573,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.527445, -0.117613)",http://opendatacommunities.org/id/london-borough-council/camden
solo motorcycles,1,mon-sat 09:00-20:00,N/A,N/A,N/A,N/A,Heath Street,NW3 6TP,CA-H,N/A,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526369,185640,-0.178595,51.555502,"MULTILINESTRING ((526368.96 185637.57,526370.67 185638.39,526368.81 185642.38,526367.13 185641.65))","LINESTRING (-0.178595 51.55548,-0.17857 51.555487,-0.178595 51.555523,-0.17862 51.555517)","{""type"":""MultiLineString"",""coordinates"":[[[526368.96,185637.57],[526370.67,185638.39],[526368.81,185642.38],[526367.13,185641.65]]]}","{""type"":""LineString"",""coordinates"":[[-0.178595,51.55548],[-0.17857,51.555487],[-0.178595,51.555523],[-0.17862,51.555517]]}",46035109,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.555502, -0.178595)",http://opendatacommunities.org/id/london-borough-council/camden
disabled (dedicated),1,at any time,N/A,N/A,N/A,N/A,Elm Street,WC1X 0AU,CA-D,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530963,182114,-0.113673,51.522771,"MULTILINESTRING ((530966.72 182114.91,530965.77 182116.7,530959.81 182113.75,530960.68 182111.96))","LINESTRING (-0.113623 51.522775,-0.113636 51.522792,-0.113723 51.522767,-0.113711 51.52275)","{""type"":""MultiLineString"",""coordinates"":[[[530966.72,182114.91],[530965.77,182116.7],[530959.81,182113.75],[530960.68,182111.96]]]}","{""type"":""LineString"",""coordinates"":[[-0.113623,51.522775],[-0.113636,51.522792],[-0.113723,51.522767],[-0.113711,51.52275]]}",46132499,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.522771, -0.113673)",http://opendatacommunities.org/id/london-borough-council/camden
trader / resident permit holders,2,"mon-fri 08:30-18:30, sat 08:30-13:30",N/A,N/A,N/A,N/A,Elm Street,WC1X 0AU,CA-D,CA-D,11,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530966,182123,-0.113624,51.52285,"MULTILINESTRING ((530971.01 182126.43,530971.81 182124.73,530961.82 182119.93,530961.02 182121.65))","LINESTRING (-0.113557 51.522878,-0.113546 51.522862,-0.113692 51.522822,-0.113702 51.522837)","{""type"":""MultiLineString"",""coordinates"":[[[530971.01,182126.43],[530971.81,182124.73],[530961.82,182119.93],[530961.02,182121.65]]]}","{""type"":""LineString"",""coordinates"":[[-0.113557,51.522878],[-0.113546,51.522862],[-0.113692,51.522822],[-0.113702,51.522837]]}",46132460,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.52285, -0.113624)",http://opendatacommunities.org/id/london-borough-council/camden
