STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPLNOCHLD,"Jobless couple, no child",HR_MINWAGE,Hours at minimum wage,A,Annual,2023,,47,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LUX,Luxembourg,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPLNOCHLD,"Jobless couple, no child",HR_MINWAGE,Hours at minimum wage,A,Annual,2023,,42,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPLNOCHLD,"Jobless couple, no child",HR_MINWAGE,Hours at minimum wage,A,Annual,2023,,42,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_AVEWAGE,Hours at average wage,A,Annual,2023,,26,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2023,,39,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,WORKEXPOV,Working hours needed to exit poverty,SNGLNOCHLD,"Single, no child",HR_MINWAGE,Hours at minimum wage,A,Annual,2023,,29,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_MINWAGE,Hours at minimum wage,A,Annual,2023,,40,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPLNOCHLD,"Jobless couple, no child",HR_AVEWAGE,Hours at average wage,A,Annual,2023,,19,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_MINWAGE,Hours at minimum wage,A,Annual,2023,,60,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MLT,Malta,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPLNOCHLD,"Jobless couple, no child",HR_AVEWAGE,Hours at average wage,A,Annual,2023,,23,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LTU,Lithuania,WORKEXPOV,Working hours needed to exit poverty,SNGLNOCHLD,"Single, no child",HR_AVEWAGE,Hours at average wage,A,Annual,2023,,16,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MLT,Malta,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPLNOCHLD,"Jobless couple, no child",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2023,,36,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LVA,Latvia,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2023,,27,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LVA,Latvia,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_MINWAGE,Hours at minimum wage,A,Annual,2023,,45,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2023,,38,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_MINWAGE,Hours at minimum wage,A,Annual,2023,,80,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LVA,Latvia,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_AVEWAGE,Hours at average wage,A,Annual,2023,,18,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HRV,Croatia,WORKEXPOV,Working hours needed to exit poverty,SNGLNOCHLD,"Single, no child",HR_AVEWAGE,Hours at average wage,A,Annual,2023,,16,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_AVEWAGE,Hours at average wage,A,Annual,2023,,8,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_MINWAGE,Hours at minimum wage,A,Annual,2023,,21,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_AVEWAGE,Hours at average wage,A,Annual,2023,,10,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TUR,Türkiye,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_AVEWAGE,Hours at average wage,A,Annual,2023,,11,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2023,,37,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_MINWAGE,Hours at minimum wage,A,Annual,2023,,42,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_AVEWAGE,Hours at average wage,A,Annual,2023,,21,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHE,Switzerland,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_AVEWAGE,Hours at average wage,A,Annual,2023,,20,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,POL,Poland,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_AVEWAGE,Hours at average wage,A,Annual,2023,,21,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_MINWAGE,Hours at minimum wage,A,Annual,2023,,63,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NOR,Norway,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPLNOCHLD,"Jobless couple, no child",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2023,,38,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_AVEWAGE,Hours at average wage,A,Annual,2023,,26,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,POL,Poland,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_AVEWAGE,Hours at average wage,A,Annual,2023,,25,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_MINWAGE,Hours at minimum wage,A,Annual,2023,,34,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LUX,Luxembourg,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPLNOCHLD,"Jobless couple, no child",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2023,,33,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,IRL,Ireland,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_AVEWAGE,Hours at average wage,A,Annual,2023,,21,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISL,Iceland,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2023,,41,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HUN,Hungary,WORKEXPOV,Working hours needed to exit poverty,SNGLNOCHLD,"Single, no child",HR_MINWAGE,Hours at minimum wage,A,Annual,2023,,37,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FIN,Finland,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2023,,26,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FIN,Finland,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_AVEWAGE,Hours at average wage,A,Annual,2023,,17,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,WORKEXPOV,Working hours needed to exit poverty,SNGLNOCHLD,"Single, no child",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2023,,22,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CZE,Czechia,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_AVEWAGE,Hours at average wage,A,Annual,2023,,29,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HRV,Croatia,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPLNOCHLD,"Jobless couple, no child",HR_MINWAGE,Hours at minimum wage,A,Annual,2022,,51,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPLNOCHLD,"Jobless couple, no child",HR_MINWAGE,Hours at minimum wage,A,Annual,2022,,80,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVK,Slovak Republic,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPLNOCHLD,"Jobless couple, no child",HR_MINWAGE,Hours at minimum wage,A,Annual,2022,,52,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPLNOCHLD,"Jobless couple, no child",HR_MINWAGE,Hours at minimum wage,A,Annual,2022,,42,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_MINWAGE,Hours at minimum wage,A,Annual,2022,,57,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,WORKEXPOV,Working hours needed to exit poverty,SNGLNOCHLD,"Single, no child",HR_AVEWAGE,Hours at average wage,A,Annual,2022,,15,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,WORKEXPOV,Working hours needed to exit poverty,SNGLNOCHLD,"Single, no child",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2022,,22,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPLNOCHLD,"Jobless couple, no child",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2022,,48,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2022,,32,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,WORKEXPOV,Working hours needed to exit poverty,SNGLNOCHLD,"Single, no child",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2022,,21,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2022,,29,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MLT,Malta,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_AVEWAGE,Hours at average wage,A,Annual,2022,,32,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MLT,Malta,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_MINWAGE,Hours at minimum wage,A,Annual,2022,,80,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LTU,Lithuania,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_MINWAGE,Hours at minimum wage,A,Annual,2022,,42,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LTU,Lithuania,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2022,,26,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPLNOCHLD,"Jobless couple, no child",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2022,,42,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HRV,Croatia,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_MINWAGE,Hours at minimum wage,A,Annual,2022,,58,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HRV,Croatia,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2022,,40,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,WORKEXPOV,Working hours needed to exit poverty,SNGLNOCHLD,"Single, no child",HR_MINWAGE,Hours at minimum wage,A,Annual,2022,,80,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2022,,52,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,WORKEXPOV,Working hours needed to exit poverty,SNGL2CHLD,"Single, 2 children",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2022,,45,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPLNOCHLD,"Jobless couple, no child",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2022,,23,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,WORKEXPOV,Working hours needed to exit poverty,SNGLNOCHLD,"Single, no child",HR_MINWAGE,Hours at minimum wage,A,Annual,2022,,23,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TUR,Türkiye,WORKEXPOV,Working hours needed to exit poverty,SNGLNOCHLD,"Single, no child",HR_MINWAGE,Hours at minimum wage,A,Annual,2022,,22,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TUR,Türkiye,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPLNOCHLD,"Jobless couple, no child",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2022,,18,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPLNOCHLD,"Jobless couple, no child",HR_AVEWAGE,Hours at average wage,A,Annual,2022,,21,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,WORKEXPOV,Working hours needed to exit poverty,SNGLNOCHLD,"Single, no child",HR_AVEWAGE,Hours at average wage,A,Annual,2022,,17,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,PRT,Portugal,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_MINWAGE,Hours at minimum wage,A,Annual,2022,,60,,A,,,,,,,
