Entity,Code,Year,Working hours per worker
Australia,AUS,2014,1746.4962
Australia,AUS,2015,1746.4835
Australia,AUS,2016,1736.081
Australia,AUS,2017,1736.8003
Australia,AUS,2018,1729.342
Australia,AUS,2019,1726.7976
Austria,AUT,1950,2085.6694
Austria,AUT,1951,2083.0156
Austria,AUT,1952,2080.3652
Austria,AUT,1953,2077.718
Austria,AUT,1954,2075.0742
Austria,AUT,1955,2072.4338
Austria,AUT,1956,2069.7966
Austria,AUT,1957,2067.163
Austria,AUT,1958,2064.5327
Austria,AUT,1959,2061.9058
Austria,AUT,1960,2059.282
Austria,AUT,1961,2046.6298
Austria,AUT,1962,2034.0552
Austria,AUT,1963,2021.558
Austria,AUT,1964,2009.1375
Austria,AUT,1965,1996.7932
Austria,AUT,1966,1984.5249
Austria,AUT,1967,1972.3319
Austria,AUT,1968,1960.2139
Austria,AUT,1969,1948.1703
Austria,AUT,1970,1890.1375
Austria,AUT,1971,1885.288
Austria,AUT,1972,1905.7499
Austria,AUT,1973,1900.7313
Austria,AUT,1974,1978.6625
Austria,AUT,1975,1903.9717
Austria,AUT,1976,1898.0424
Austria,AUT,1977,1904.7831
Austria,AUT,1978,1844.0676
Austria,AUT,1979,1876.6804
Austria,AUT,1980,1881.0354
Austria,AUT,1981,1819.1412
Austria,AUT,1982,1835.1189
Austria,AUT,1983,1829.9122
Austria,AUT,1984,1825.9255
Austria,AUT,1985,1821.5303
Austria,AUT,1986,1820.7109
Austria,AUT,1987,1808.7163
Austria,AUT,1988,1812.1312
Austria,AUT,1989,1825.2433
Austria,AUT,1990,1826.0298
Austria,AUT,1991,1836.4442
Austria,AUT,1992,1804.9314
Austria,AUT,1993,1802.2981
Austria,AUT,1994,1800.5381
Austria,AUT,1995,1774.4364
Austria,AUT,1996,1807.2706
Austria,AUT,1997,1815.692
Austria,AUT,1998,1794.0305
Austria,AUT,1999,1797.9713
Austria,AUT,2000,1798.4323
Austria,AUT,2001,1785.4202
Austria,AUT,2002,1782.8479
Austria,AUT,2003,1773.9779
Austria,AUT,2004,1776.4658
Austria,AUT,2005,1752.4894
Austria,AUT,2006,1735.6696
Austria,AUT,2007,1724.7792
Austria,AUT,2008,1717.1951
Austria,AUT,2009,1673.0751
Austria,AUT,2010,1665.8439
Austria,AUT,2011,1671.6877
Austria,AUT,2012,1647.8529
Austria,AUT,2013,1632.0676
Austria,AUT,2014,1621.5658
Austria,AUT,2015,1605.2805
Austria,AUT,2016,1618.2108
Austria,AUT,2017,1608.1809
Austria,AUT,2018,1612.6927
Austria,AUT,2019,1611.3743
Bangladesh,BGD,1970,2520.86
Bangladesh,BGD,1971,2522.0146
Bangladesh,BGD,1972,2522.9
Bangladesh,BGD,1973,2523.4087
Bangladesh,BGD,1974,2523.705
Bangladesh,BGD,1975,2523.755
Bangladesh,BGD,1976,2522.58
Bangladesh,BGD,1977,2521.4927
Bangladesh,BGD,1978,2520.5725
Bangladesh,BGD,1979,2519.8289
Bangladesh,BGD,1980,2519.2603
Bangladesh,BGD,1981,2519.0798
Bangladesh,BGD,1982,2522.7944
Bangladesh,BGD,1983,2526.398
Bangladesh,BGD,1984,2529.8147
Bangladesh,BGD,1985,2485.5732
Bangladesh,BGD,1986,2442.245
Bangladesh,BGD,1987,2400.8552
Bangladesh,BGD,1988,2360.1934
Bangladesh,BGD,1989,2319.6323
Bangladesh,BGD,1990,2413.8335
Bangladesh,BGD,1991,2507.7632
Bangladesh,BGD,1992,2512.3062
Bangladesh,BGD,1993,2517.2378
Bangladesh,BGD,1994,2522.5781
Bangladesh,BGD,1995,2528.3394
Bangladesh,BGD,1996,2535.1077
Bangladesh,BGD,1997,2541.368
Bangladesh,BGD,1998,2547.8
Bangladesh,BGD,1999,2554.3582
Bangladesh,BGD,2000,2560.8271
Bangladesh,BGD,2001,2561.9287
Bangladesh,BGD,2002,2563.5498
Bangladesh,BGD,2003,2565.5776
Bangladesh,BGD,2004,2576.8167
Bangladesh,BGD,2005,2587.2727
Bangladesh,BGD,2006,2597.6511
Bangladesh,BGD,2007,2591.9429
Bangladesh,BGD,2008,2586.7205
Bangladesh,BGD,2009,2581.9487
Bangladesh,BGD,2010,2577.616
Bangladesh,BGD,2011,2491.95
Bangladesh,BGD,2012,2405.7834
Bangladesh,BGD,2013,2319.5667
Bangladesh,BGD,2014,2366.9434
Bangladesh,BGD,2015,2418.7507
Bangladesh,BGD,2016,2473.509
Bangladesh,BGD,2017,2418.8828
Bangladesh,BGD,2018,2418.8828
Bangladesh,BGD,2019,2418.8828
Belgium,BEL,1870,3483
Belgium,BEL,1880,3344
Belgium,BEL,1890,3177
Belgium,BEL,1900,3064
Belgium,BEL,1913,2841
Belgium,BEL,1929,2229
Belgium,BEL,1938,2196
Belgium,BEL,1950,2096.1492
Belgium,BEL,1951,2085.9194
Belgium,BEL,1952,2075.7397
Belgium,BEL,1953,2065.6096
Belgium,BEL,1954,2055.529
Belgium,BEL,1955,2045.4976
Belgium,BEL,1956,2035.5151
Belgium,BEL,1957,2025.5814
Belgium,BEL,1958,2015.6962
Belgium,BEL,1959,2005.8591
Belgium,BEL,1960,1996.0701
Belgium,BEL,1961,1984.2296
Belgium,BEL,1962,1972.4594
Belgium,BEL,1963,1960.7589
Belgium,BEL,1964,1949.1278
Belgium,BEL,1965,1937.5658
Belgium,BEL,1966,1926.0723
Belgium,BEL,1967,1914.647
Belgium,BEL,1968,1903.2894
Belgium,BEL,1969,1891.9994
Belgium,BEL,1970,1880.7761
Belgium,BEL,1971,1871.7172
Belgium,BEL,1972,1845.7231
Belgium,BEL,1973,1818.9681
Belgium,BEL,1974,1788.8882
Belgium,BEL,1975,1778.8241
Belgium,BEL,1976,1780.3851
Belgium,BEL,1977,1754.3522
Belgium,BEL,1978,1735.8992
Belgium,BEL,1979,1718.7871
Belgium,BEL,1980,1698.9741
Belgium,BEL,1981,1676.3322
Belgium,BEL,1982,1661.9731
Belgium,BEL,1983,1667.9081
Belgium,BEL,1984,1691.8772
Belgium,BEL,1985,1697.8722
Belgium,BEL,1986,1677.8961
Belgium,BEL,1987,1662.9192
Belgium,BEL,1988,1650.9292
Belgium,BEL,1989,1641.9371
Belgium,BEL,1990,1655.9281
Belgium,BEL,1991,1618.9741
Belgium,BEL,1992,1596.0011
Belgium,BEL,1993,1552.0562
Belgium,BEL,1994,1552.0562
Belgium,BEL,1995,1578.0261
Belgium,BEL,1996,1552.0571
Belgium,BEL,1997,1565.0442
Belgium,BEL,1998,1576.0342
Belgium,BEL,1999,1575.3821
Belgium,BEL,2000,1589.1027
Belgium,BEL,2001,1581.2432
Belgium,BEL,2002,1593.6455
Belgium,BEL,2003,1598.2198
Belgium,BEL,2004,1587.8026
Belgium,BEL,2005,1577.6764
Belgium,BEL,2006,1591.6377
Belgium,BEL,2007,1593.6576
Belgium,BEL,2008,1582.5051
Belgium,BEL,2009,1563.2252
Belgium,BEL,2010,1573.8307
Belgium,BEL,2011,1590.2344
Belgium,BEL,2012,1587.295
Belgium,BEL,2013,1585.5951
Belgium,BEL,2014,1581.596
Belgium,BEL,2015,1575.4569
Belgium,BEL,2016,1574.1542
Belgium,BEL,2017,1577.9177
Belgium,BEL,2018,1583.264
Belgium,BEL,2019,1586.431
Brazil,BRA,1950,2042
Brazil,BRA,1951,2051.0186
Brazil,BRA,1952,2060.0771
Brazil,BRA,1953,2069.1755
Brazil,BRA,1954,2078.3142
Brazil,BRA,1955,2087.4932
Brazil,BRA,1956,2096.713
Brazil,BRA,1957,2105.9731
Brazil,BRA,1958,2115.2742
Brazil,BRA,1959,2124.6165
Brazil,BRA,1960,2134
Brazil,BRA,1961,2135.0974
Brazil,BRA,1962,2136.1956
Brazil,BRA,1963,2137.294
Brazil,BRA,1964,2138.3933
Brazil,BRA,1965,2139.493
Brazil,BRA,1966,2140.5933
Brazil,BRA,1967,2141.694
Brazil,BRA,1968,2142.7954
Brazil,BRA,1969,2143.8975
Brazil,BRA,1970,2145
Brazil,BRA,1971,2128.5408
Brazil,BRA,1972,2112.2078
Brazil,BRA,1973,2096
Brazil,BRA,1974,2079.7708
Brazil,BRA,1975,2063.667
Brazil,BRA,1976,2047.6881
Brazil,BRA,1977,2031.8329
Brazil,BRA,1978,2016.1005
Brazil,BRA,1979,2000.4897
Brazil,BRA,1980,1985
Brazil,BRA,1981,1974.0968
Brazil,BRA,1982,1963.2535
Brazil,BRA,1983,1952.4698
Brazil,BRA,1984,1941.7454
Brazil,BRA,1985,1931.0797
Brazil,BRA,1986,1920.4728
Brazil,BRA,1987,1909.924
Brazil,BRA,1988,1899.4332
Brazil,BRA,1989,1889
Brazil,BRA,1990,1879
Brazil,BRA,1991,1868.4705
Brazil,BRA,1992,1858
Brazil,BRA,1993,1858.9998
Brazil,BRA,1994,1860
Brazil,BRA,1995,1855.2317
Brazil,BRA,1996,1850.4756
Brazil,BRA,1997,1845.7317
Brazil,BRA,1998,1841
Brazil,BRA,1999,1813.8428
Brazil,BRA,2000,1837.927
Brazil,BRA,2001,1828.3264
Brazil,BRA,2002,1818.7257
Brazil,BRA,2003,1811.1825
Brazil,BRA,2004,1803.1261
Brazil,BRA,2005,1783.1312
Brazil,BRA,2006,1779.1678
Brazil,BRA,2007,1774.2665
Brazil,BRA,2008,1771.2618
Brazil,BRA,2009,1764.5468
Brazil,BRA,2010,1761.3457
Brazil,BRA,2011,1769.6213
Brazil,BRA,2012,1765.1022
Brazil,BRA,2013,1751.5537
Brazil,BRA,2014,1738.8689
Brazil,BRA,2015,1722.8759
Brazil,BRA,2016,1714.675
Brazil,BRA,2017,1709.5944
Brazil,BRA,2018,1706.0571
Brazil,BRA,2019,1707.795
Bulgaria,BGR,1995,1710.674
Bulgaria,BGR,1996,1708.2025
Bulgaria,BGR,1997,1706.8674
Bulgaria,BGR,1998,1649.981
Bulgaria,BGR,1999,1669.4999
Bulgaria,BGR,2000,1640.2538
Bulgaria,BGR,2001,1651.8589
Bulgaria,BGR,2002,1651.2594
Bulgaria,BGR,2003,1640.5111
Bulgaria,BGR,2004,1663.6887
Bulgaria,BGR,2005,1658.6464
Bulgaria,BGR,2006,1654.1027
Bulgaria,BGR,2007,1654.5214
Bulgaria,BGR,2008,1693.596
Bulgaria,BGR,2009,1646.2753
Bulgaria,BGR,2010,1644.8379
Bulgaria,BGR,2011,1643.5928
Bulgaria,BGR,2012,1644.4498
Bulgaria,BGR,2013,1644.9795
Bulgaria,BGR,2014,1644.059
Bulgaria,BGR,2015,1644.3853
Bulgaria,BGR,2016,1643.5475
Bulgaria,BGR,2017,1643.258
Bulgaria,BGR,2018,1644.5715
Bulgaria,BGR,2019,1645.2465
Cambodia,KHM,1993,2190.6436
Cambodia,KHM,1994,2160.658
Cambodia,KHM,1995,2187.2812
Cambodia,KHM,1996,2191.9963
Cambodia,KHM,1997,2202.3345
Cambodia,KHM,1998,2239.2913
Cambodia,KHM,1999,2265.4268
Cambodia,KHM,2000,2296.8909
Cambodia,KHM,2001,2321.0562
Cambodia,KHM,2002,2367.1667
Cambodia,KHM,2003,2366.4758
Cambodia,KHM,2004,2374.304
Cambodia,KHM,2005,2373.758
Cambodia,KHM,2006,2374.1353
Cambodia,KHM,2007,2380.8865
Cambodia,KHM,2008,2382.5652
Cambodia,KHM,2009,2389.0847
Cambodia,KHM,2010,2390.162
Cambodia,KHM,2011,2408.062
Cambodia,KHM,2012,2414.2522
Cambodia,KHM,2013,2423.9707
Cambodia,KHM,2014,2442.8054
Cambodia,KHM,2015,2458.309
Cambodia,KHM,2016,2467.99
Cambodia,KHM,2017,2474.9119
Cambodia,KHM,2018,2474.9119
Cambodia,KHM,2019,2474.9119
Canada,CAN,1870,2845
Canada,CAN,1880,2934
Canada,CAN,1890,3017
Canada,CAN,1900,3102
Canada,CAN,1913,2868
Canada,CAN,1929,2354
Canada,CAN,1938,2212
Canada,CAN,1950,2209.2341
Canada,CAN,1951,2194.1836
Canada,CAN,1952,2181.9395
Canada,CAN,1953,2180.5283
Canada,CAN,1954,2172.6038
Canada,CAN,1955,2154.6565
Canada,CAN,1956,2142.279
Canada,CAN,1957,2122.9817
Canada,CAN,1958,2107.6152
Canada,CAN,1959,2104.4343
Canada,CAN,1960,2090.806
Canada,CAN,1961,2066.4954
Canada,CAN,1962,2065.045
Canada,CAN,1963,2050.3577
Canada,CAN,1964,2039.1084
Canada,CAN,1965,2021.2146
Canada,CAN,1966,1995.1143
Canada,CAN,1967,1985.5981
Canada,CAN,1968,1961.4777
Canada,CAN,1969,1942.4684
Canada,CAN,1970,1925
Canada,CAN,1971,1912
Canada,CAN,1972,1904
Canada,CAN,1973,1898
Canada,CAN,1974,1891
Canada,CAN,1975,1872
Canada,CAN,1976,1862
Canada,CAN,1977,1834
Canada,CAN,1978,1836
Canada,CAN,1979,1841
Canada,CAN,1980,1827
Canada,CAN,1981,1812
Canada,CAN,1982,1788.3629
Canada,CAN,1983,1780.2158
Canada,CAN,1984,1791.116
Canada,CAN,1985,1794.9056
Canada,CAN,1986,1798.5189
Canada,CAN,1987,1807.0273
Canada,CAN,1988,1807.8146
Canada,CAN,1989,1802.8204
Canada,CAN,1990,1795.2927
Canada,CAN,1991,1774.1893
Canada,CAN,1992,1772.387
Canada,CAN,1993,1771.1223
Canada,CAN,1994,1784.9905
Canada,CAN,1995,1785.0164
Canada,CAN,1996,1798.8071
Canada,CAN,1997,1796.6779
Canada,CAN,1998,1792.643
Canada,CAN,1999,1791.8601
Canada,CAN,2000,1786.1864
Canada,CAN,2001,1773.0408
Canada,CAN,2002,1754.3634
Canada,CAN,2003,1743.8031
Canada,CAN,2004,1753.7999
Canada,CAN,2005,1744.0182
Canada,CAN,2006,1743.5408
Canada,CAN,2007,1742.9257
Canada,CAN,2008,1740.306
Canada,CAN,2009,1710.836
Canada,CAN,2010,1714.2085
Canada,CAN,2011,1712.6512
Canada,CAN,2012,1720.6306
Canada,CAN,2013,1714.9354
Canada,CAN,2014,1709.6014
Canada,CAN,2015,1710.7802
Canada,CAN,2016,1705.1924
Canada,CAN,2017,1693.7847
Canada,CAN,2018,1707.0592
Canada,CAN,2019,1689.2809
Chile,CHL,1951,2527.8796
Chile,CHL,1952,2514.3145
Chile,CHL,1953,2500.822
Chile,CHL,1954,2487.402
Chile,CHL,1955,2474.0542
Chile,CHL,1956,2460.778
Chile,CHL,1957,2447.573
Chile,CHL,1958,2434.4387
Chile,CHL,1959,2421.375
Chile,CHL,1960,2408.3813
Chile,CHL,1961,2389.3052
Chile,CHL,1962,2370.2288
Chile,CHL,1963,2327.3071
Chile,CHL,1964,2322.538
Chile,CHL,1965,2336.8455
Chile,CHL,1966,2355.9216
Chile,CHL,1967,2179.466
Chile,CHL,1968,2260.5403
Chile,CHL,1969,2289.1545
Chile,CHL,1970,2160.3896
Chile,CHL,1971,2255.7712
Chile,CHL,1972,2270.0784
Chile,CHL,1973,2246.233
Chile,CHL,1974,2227.1567
Chile,CHL,1975,2270.0784
Chile,CHL,1976,2284.3855
Chile,CHL,1977,2255.7712
Chile,CHL,1978,2279.6165
Chile,CHL,1979,2303.462
Chile,CHL,1980,2317.769
Chile,CHL,1981,2360.6907
Chile,CHL,1982,2308.231
Chile,CHL,1983,2265.3093
Chile,CHL,1984,2298.6929
Chile,CHL,1985,2298.6929
Chile,CHL,1986,2332.0762
Chile,CHL,1987,2351.1526
Chile,CHL,1988,2360.6907
Chile,CHL,1989,2370.2288
Chile,CHL,1990,2408.3813
Chile,CHL,1991,2370.2288
Chile,CHL,1992,2365.4597
Chile,CHL,1993,2370.2288
Chile,CHL,1994,2351.1526
Chile,CHL,1995,2313
Chile,CHL,1996,2313
Chile,CHL,1997,2256
Chile,CHL,1998,2299
Chile,CHL,1999,2277
Chile,CHL,2000,2263
Chile,CHL,2001,2242
Chile,CHL,2002,2250
Chile,CHL,2003,2235
Chile,CHL,2004,2232
Chile,CHL,2005,2157
Chile,CHL,2006,2165
Chile,CHL,2007,2128
Chile,CHL,2008,2095
Chile,CHL,2009,2074
Chile,CHL,2010,2070
Chile,CHL,2011,2047
Chile,CHL,2012,2024
Chile,CHL,2013,2015
Chile,CHL,2014,1990
Chile,CHL,2015,1988
Chile,CHL,2016,1974
Chile,CHL,2017,1954
Chile,CHL,2018,1940.6
Chile,CHL,2019,1914.4
China,CHN,1970,1976.312
China,CHN,1971,1975.7937
China,CHN,1972,1975.5077
China,CHN,1973,1975.3647
China,CHN,1974,1975.1897
China,CHN,1975,1974.8975
China,CHN,1976,1974.2075
China,CHN,1977,1973.4353
China,CHN,1978,1972.7274
China,CHN,1979,1972.1038
China,CHN,1980,1971.4967
China,CHN,1981,1971.1016
China,CHN,1982,1970.7063
China,CHN,1983,1970.1927
China,CHN,1984,1969.7229
China,CHN,1985,1969.3905
China,CHN,1986,1970.4417
China,CHN,1987,1971.4633
China,CHN,1988,1972.6764
China,CHN,1989,1973.9873
China,CHN,1990,1975.354
China,CHN,1991,1976.8881
China,CHN,1992,1978.4229
China,CHN,1993,1981.6453
China,CHN,1994,1989.299
China,CHN,1995,2001.834
China,CHN,1996,2017.2646
China,CHN,1997,2037.3639
China,CHN,1998,2062.0522
China,CHN,1999,2082.0667
China,CHN,2000,2090.4753
China,CHN,2001,2103.5151
China,CHN,2002,2118.2014
China,CHN,2003,2138.0823
China,CHN,2004,2167.896
China,CHN,2005,2192.3545
China,CHN,2006,2183.0583
China,CHN,2007,2152.6501
China,CHN,2008,2131.5928
China,CHN,2009,2138.8518
China,CHN,2010,2172.7102
China,CHN,2011,2178.809
China,CHN,2012,2184.293
China,CHN,2013,2178.325
China,CHN,2014,2178.6626
China,CHN,2015,2170.4592
China,CHN,2016,2167.2278
China,CHN,2017,2168.919
China,CHN,2018,2168.919
China,CHN,2019,2168.919
Colombia,COL,1950,2323
Colombia,COL,1951,2312.28
Colombia,COL,1952,2301.6096
Colombia,COL,1953,2290.9885
Colombia,COL,1954,2280.4163
Colombia,COL,1955,2269.893
Colombia,COL,1956,2259.4182
Colombia,COL,1957,2248.9917
Colombia,COL,1958,2238.6133
Colombia,COL,1959,2228.2827
Colombia,COL,1960,2218
Colombia,COL,1961,2213.1526
Colombia,COL,1962,2208.316
Colombia,COL,1963,2203.4895
Colombia,COL,1964,2198.6738
Colombia,COL,1965,2193.8687
Colombia,COL,1966,2189.074
Colombia,COL,1967,2184.2898
Colombia,COL,1968,2179.516
Colombia,COL,1969,2174.753
Colombia,COL,1970,2170
Colombia,COL,1971,2160.29
Colombia,COL,1972,2150.6233
Colombia,COL,1973,2141
Colombia,COL,1974,2131.2976
Colombia,COL,1975,2121.6394
Colombia,COL,1976,2112.0247
Colombia,COL,1977,2102.4536
Colombia,COL,1978,2092.926
Colombia,COL,1979,2083.4414
Colombia,COL,1980,2074
Colombia,COL,1981,2063.2231
Colombia,COL,1982,2052.5022
Colombia,COL,1983,2041.8372
Colombia,COL,1984,2031.2274
Colombia,COL,1985,2020.6729
Colombia,COL,1986,2010.1731
Colombia,COL,1987,1999.7279
Colombia,COL,1988,1989.3369
Colombia,COL,1989,1979
Colombia,COL,1990,1969
Colombia,COL,1991,1958.9745
Colombia,COL,1992,1949
Colombia,COL,1993,1961.9569
Colombia,COL,1994,1975
Colombia,COL,1995,1970.2328
Colombia,COL,1996,1965.477
Colombia,COL,1997,1960.7328
Colombia,COL,1998,1956
Colombia,COL,1999,1956
Colombia,COL,2000,1956
Colombia,COL,2001,1956
Colombia,COL,2002,2032.2886
Colombia,COL,2003,2016.2488
Colombia,COL,2004,2004.2563
Colombia,COL,2005,2013.9287
Colombia,COL,2006,2037.6603
Colombia,COL,2007,2061.6716
Colombia,COL,2008,2085.9658
Colombia,COL,2009,2051.2192
Colombia,COL,2010,2045.4346
Colombia,COL,2011,2029.6957
Colombia,COL,2012,2016.916
Colombia,COL,2013,2011.7549
Colombia,COL,2014,2004.7931
Colombia,COL,2015,1997.0325
Colombia,COL,2016,1989.179
Colombia,COL,2017,1974.2314
Colombia,COL,2018,1968.3673
Colombia,COL,2019,1968.3673
Costa Rica,CRI,1987,2371.7446
Costa Rica,CRI,1988,2351.5657
Costa Rica,CRI,1989,2313.1028
Costa Rica,CRI,1990,2363.5396
Costa Rica,CRI,1991,2278.2588
Costa Rica,CRI,1992,2364.5488
Costa Rica,CRI,1993,2352.4185
Costa Rica,CRI,1994,2376.1067
Costa Rica,CRI,1995,2350.713
Costa Rica,CRI,1996,2392.572
Costa Rica,CRI,1997,2371.2124
Costa Rica,CRI,1998,2362.2837
Costa Rica,CRI,1999,2376.1733
Costa Rica,CRI,2000,2367.5845
Costa Rica,CRI,2001,2335.0432
Costa Rica,CRI,2002,2362.696
Costa Rica,CRI,2003,2356.135
Costa Rica,CRI,2004,2375.402
Costa Rica,CRI,2005,2357.8464
Costa Rica,CRI,2006,2365.613
Costa Rica,CRI,2007,2392.5747
Costa Rica,CRI,2008,2397.8833
Costa Rica,CRI,2009,2354.2432
Costa Rica,CRI,2010,2249.2659
Costa Rica,CRI,2011,2289.8875
Costa Rica,CRI,2012,2242.5994
Costa Rica,CRI,2013,2156.5576
Costa Rica,CRI,2014,2135.5332
Costa Rica,CRI,2015,2156.9104
Costa Rica,CRI,2016,2212.3838
Costa Rica,CRI,2017,2185.2825
Costa Rica,CRI,2018,2127.9885
Costa Rica,CRI,2019,2069.2454
Croatia,HRV,1995,1923.6868
Croatia,HRV,1996,1923.6843
Croatia,HRV,1997,1923.7461
Croatia,HRV,1998,1923.6796
Croatia,HRV,1999,1923.6516
Croatia,HRV,2000,1922.0885
Croatia,HRV,2001,1923.3796
Croatia,HRV,2002,1923.6532
Croatia,HRV,2003,1924.7345
Croatia,HRV,2004,1926.5612
Croatia,HRV,2005,1926.5049
Croatia,HRV,2006,1928.6445
Croatia,HRV,2007,1930.6614
Croatia,HRV,2008,1932.2053
Croatia,HRV,2009,1928.8948
Croatia,HRV,2010,1942.9882
Croatia,HRV,2011,1940.2644
Croatia,HRV,2012,1923.7847
Croatia,HRV,2013,1909.4727
Croatia,HRV,2014,1891.6152
Croatia,HRV,2015,1827.651
Croatia,HRV,2016,1834.9098
Croatia,HRV,2017,1823.7676
Croatia,HRV,2018,1810.8696
Croatia,HRV,2019,1831.3234
Cyprus,CYP,1995,1899.5675
Cyprus,CYP,1996,1898.5345
Cyprus,CYP,1997,1906.2773
Cyprus,CYP,1998,1912.542
Cyprus,CYP,1999,1919.71
Cyprus,CYP,2000,1926.3915
Cyprus,CYP,2001,1950.894
Cyprus,CYP,2002,1923.2074
Cyprus,CYP,2003,1916.0419
Cyprus,CYP,2004,1878.5753
Cyprus,CYP,2005,1847.304
Cyprus,CYP,2006,1832.9216
Cyprus,CYP,2007,1862.0607
Cyprus,CYP,2008,1867.7183
Cyprus,CYP,2009,1847.1039
Cyprus,CYP,2010,1844.9968
Cyprus,CYP,2011,1847.2744
Cyprus,CYP,2012,1845.2687
Cyprus,CYP,2013,1810.279
Cyprus,CYP,2014,1815.4343
Cyprus,CYP,2015,1824.3308
Cyprus,CYP,2016,1839.6754
Cyprus,CYP,2017,1821.4827
Cyprus,CYP,2018,1809.5833
Cyprus,CYP,2019,1805.2397
Czechia,CZE,1993,1856.9036
Czechia,CZE,1994,1838.9045
Czechia,CZE,1995,1857.9026
Czechia,CZE,1996,1852.5775
Czechia,CZE,1997,1857.7623
Czechia,CZE,1998,1877.4183
Czechia,CZE,1999,1893.5347
Czechia,CZE,2000,1895.5621
Czechia,CZE,2001,1818.3157
Czechia,CZE,2002,1816.5702
Czechia,CZE,2003,1806.224
Czechia,CZE,2004,1817.061
Czechia,CZE,2005,1816.9883
Czechia,CZE,2006,1799.1667
Czechia,CZE,2007,1784.3645
Czechia,CZE,2008,1789.5405
Czechia,CZE,2009,1778.767
